premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Burton Premium Wines,McLaren Vale,www.burtonpremiumwines.com,PO Box 242, Killara, NSW 2071                        McLaren Vale            SA,(02) 9416 6631,(02) 9416 6681,Not,Pat Tocaciu (Contract),1998,3000,Not Available,
Burnbrae,Mudgee,www.burnbraewines.com.au,548 Hill End Road, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6373 3504,(02) 6373 3435,7 days 10-4,Lisa Bray,1968,5400,6 hectares,
Burrundulla Vineyards,Mudgee,www.burrundulla.com.au,234 Castlereagh Highway, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6372 9534,(02) 6372 4058,Thurs-Mon from 10 am,Contract,1996,2000,40 hectares,
Burke & Hills,Orange,,Cargo Road, Lidster, NSW 2800                        Orange            NSW,(02) 6365 3456,(02) 6365 3456,Fri-Mon 11-5 at Lakeside Cafe, Lake Canobolas,Chris Derrez, Lucy Maddox,1999,NA,Not Available,
Bungawarra,Granite Belt,www.bungawarrawines.com.au,Bents Road, Ballandean, Qld 4382                        Granite Belt            QLD,(07) 4684 1128,(07) 4684 1128,7 days 10-4,Jeff Harden,1975,900,4.16 hectares,
Burk Salter Wines,Riverland,www.burksalterwines.com.au,72 Paisley Road, Blanchetown, SA 5357                        Riverland            SA,(08) 8540 5023,(08) 8540 5023,W'ends and public hols 11-4.30,Peter Gajewski,2002,1500,21.4 hectares,
Bundaleer Wines,Southern Flinders Ranges,www.bundaleerwines.com.au,PO Box 41, Hove, SA 5048                        Southern Flinders Ranges            SA,(08) 8294 7011,(08) 8296 2484,Little Red Grape, Sevenhill,Angela Meaney,1998,3500,7 hectares,
Bundaleera Vineyard,Northern Tasmania,,449 Glenwood Road, Relbia, Tas 7258 (postal)                        Northern Tasmania            TAS,(03) 6343 1231,(03) 6343 1250,W'ends 10-5,Pirie Consulting (Andrew Pirie),1996,1000,Not Available,
Bullock Creek Vineyard,Bendigo,,111 Belvoir Park Road, Ravenswood North, Vic 3453                        Bendigo            VIC,(03) 5435 3207,(03) 5435 3207,W'ends and public hols 11-6,Bob Beischer,1978,200,2 hectares,
Buckshot Vineyard,Heathcote,www.buckshotvineyard.com.au,PO Box 119, Coldstream, Vic 3770                        Heathcote            VIC,0417 349 785,Not Available,Not,Rob Peebles,1999,700,2 hectares,
