branch_name, premises_phone, premises_fax, email, website, premises_address, premises_suburb, premises_state, local_beach, premises_postcode
Wide Bay Capricorn Branch,741111000,741533227, slswbc@lifesaving.com.au, www.agneswatersurfclub.com, 1 Surf Club Avenue, Agnes Water, QLD, Agnes Water,4677
Misc WA Clubs, (08) 98413327, , admin@albanysurfclub.com.au, www.albanysurfclub.com.au, 4 Flinders Parade, Middleton Beach, WA, Middleton Beach,6330
Misc SA Clubs, 8556 3178, , abslsc.secretary@gmail.com, www.Aldingabayslsc.com.au, Norman Rd, Aldinga Beach, SA, Adlinga,5173
Sunshine Coast Branch,754567804,754438793, lifesavers@alexsurfclub.com.au, http://www.alexsurfclub.com.au/, 167 Alexandra Parade, Alexandra Headland, QLD, Alexandra Headland,4572
Misc WA Clubs,457444007, , alkimosslsc@outlook.com, , 500K Skysail Avenue, Alkimos, WA, ,6038
Port Phillip (Area),438939880, , admin@altonalsc.com.au, www.altonalsc.com.au, 127 Esplanade, Altona, VIC, Altona (Main),3018
Surf Coast (Area), 03 5263 1107, 03 5263 1108, info@angleseaslsc.org.au, www.angleseaslsc.org.au, 100 Great Ocean Road, Anglesea, VIC, Anglesea,3230
Otway (Area),352376765, , apollobayslsc@yahoo.com.au, www.apollobayslsc.com.au, Collingwood, APOLLO BAY, VIC, Apollo Bay,3233
North Barrier Branch, 07 4721 5855, 07 4721 5366, arcadian@bigpond.net.au, http://www.arcadiansurfclub.com.au, The Rockpool - The Strand, Townsville, QLD, Alma Bay,4810
Kingston (Area), 03 9587 2474, , aspendalelsc@hotmail.com, http://aspendalelsc.com.au/, Groves Street, Aspendale, VIC, Aspendale,3195
Illawarra Branch,242673765, , admin@austinmersurfclub.com.au, www.austinmersurfclub.com.au, Lawrence Hargrave Drive, Austinmer, NSW, Austinmer Beach,2515
Sydney Northern Beaches Branch, 02 9918 3298, , avalonbeachslsc@gmail.com, www.avalonbeachslsc.com.au, 558A Barrenjoey Road, Avalon Beach, NSW, Avalon Beach,2107
Central Coast Branch, 02 4382 1514, , office@avocabeachslsc.asn.au, www.avocabeachslsc.asn.au, 10 Vine Street, Avoca Beach, NSW, Avoca Beach,2251
North Barrier Branch, 07 4783 5638, , ayrslsc@gmail.com, ayrsurfclub.com.au, Sandown Street- Alva Beach, Ayr, QLD, Alva Beach,4807
Far North Coast Branch,410611058, , ballinaslsc@gmail.com, www.ballinasurfclub.com.au, 65 Lighthouse Parade, East Ballina, NSW, Shelly,2478
Geelong (Area), 03 5264 1248, , enquiries@bancoora.asn.au, www.bancoora.asn.au, Breamlea Road, Breamlea, VIC, Bancoora Beach,3227
Geelong (Area), 03 5254 2469, , committee@13thbeachslsc.asn.au, www.13thbeachslsc.asn.au, 13th Beach Rd, Barwon Heads, VIC, Point Flinders,3227
Life Saving Victoria, , , , , , , Unknown, , 
Far South Coast Branch,408603750, , bbslsc.president@gmail.com, www.batemansbayslsc.org.au, George Bass Drive, Malua Bay, NSW, Malua Bay,2536
Surf Life Saving NSW Misc Branch, , , , , , , Unknown, , 
Surf Life Saving NSW Misc Branch,402737585,244438581, info@bbcnippersclub.com, www.bbcnippersclub.com, Huskisson Beach, Huskisson, NSW, ,2540
Life Saving Victoria, , , , , , , Unknown, , 
Misc SA Clubs,434910865, , beachportslssa@gmail.com, , Millicent Road, BEACHPORT, SA, ,5280
Bayside (Area), 03 9589 3377, , blscsecretary@gmail.com, www.beaumarislifesavingclub.org, Beach Road, Beaumaris, VIC, Beaumaris,3193
Illawarra Branch,412446970, , bellambislsc@bellambislsc.com.au, , Morgan Place, Bellambi, NSW, Bellambi Beach,2518
Life Saving Victoria, , , , , , , Unknown, , 
North Coast Branch, 02 6655 4449, , bvnbslsc@bigpond.com, , George Street, Mylestom, NSW, North Beach/South Bogangar,2454
Far South Coast Branch, , , bermisurfclub@gmail.com, www.bermaguisls.org.au, 1 Lamont Street, Bermagui, NSW, Horseshoe Bay,2546
Misc TAS Clubs, , , bichenoslsc@gmail.com, , 41 Foster Street, Bicheno, TAS, Bicheno,7215
Sydney Northern Beaches Branch, 02 9918 2337, 02 9918 0094, club.coordinator@bilgolaslsc.org.au, www.bilgolaslsc.org.au, The Serpentine, Bilgola, NSW, Bilgola Beach,2107
Point Danger Branch, 07 5534 1263, 07 5534 3730, office@bilingaslsc.com, www.bilingaslsc.com, 257 Golden Four Drive, Bilinga, QLD, Bilinga,4225
Misc WA Clubs, , , binningupslsc@hotmail.com, , Lot 3001 Coronation Drive, Binningup, WA, Binningup Beach,6233
Hunter Branch,249819944, , birubisecretary@gmail.com, www.birubipointslsc.org.au, 73 James Paterson Street, Anna Bay, NSW, Birubi Point,2316
Lower North Coast Branch,265592737, , administration@blackheadslsc.com.au, http:www.blackheadslsc.com.au, Main St, Hallidays Point, NSW, Black Head Beach,2430
Bayside (Area), 03 9598 9571, , brlscpres@gmail.com, www.brlsc.org.au, Beach Road (near Clock Tower), Black Rock, VIC, Black Rock,3193
Misc TAS Clubs, , , boatharbour@slst.asn.au, , Port Road, Boat Harbour, TAS, Boat Harbour,7321
Kingston (Area),397760810, , secretary@bonbeachlsc.com.au, www.bonbeachlsc.com.au, Beach Reserve- Lord Weaver Grove, Bonbeach, VIC, Bonbeach,3196
Sydney Branch, 9300 9279, 9300 9596, info@bondisurfclub.com, www.bondisurfclub.com, Queen Elizabeth Drive, Bondi Beach, NSW, Bondi Beach (South),2026
North Barrier Branch, 07 4785 0200, , bowenslsc@westnet.com.au, , The Esplanade- Queens Beach, Bowen, QLD, Queens Beach,4805
Sunshine Coast Branch, 07 3408 1188, , bribiesc@bigpond.com, , 2 First Avenue, Woorim, QLD, Woorim,4507
Misc TAS Clubs, , , secretary@bridportslsc.org.au, www.bridportslsc.org.au, Goftons Beach, Bridport, TAS, Goftons Beach,7262
Bayside (Area), , , secretary@brightonlsc.com.au, www.brightonlsc.com.au, The Esplanade (opposite Keith Court), Brighton, VIC, Middle Brighton,3186
Misc SA Clubs, , , info@brightonsurfclub.com, www.brightonsurfclub.com, The Esplanade, Brighton, SA, Brighton,5048
Surf Life Saving QLD Misc Branch,738468128,738468008, brisbane@lifesaving.com.au, http://www.lifesaving.com.au/brisbanelifesaving, 18 Manning Street, South Brisbane, QLD, ,4101
South Coast Branch (Qld), 07 5527 5154, 07 5538 1651, broadbeachslsc@bigpond.com, www.broadbeachslsc.com, 27 Broadbeach Boulevard, Broadbeach, QLD, Broadbeach,4218
Sydney Branch,293896500, , management@brontesurfclub.com.au, www.brontesurfclub.com.au, Bronte Road, Bronte, NSW, Bronte Beach,2024
Misc WA Clubs, , , broomeslsc@westnet.com.au, www.broomeslsc.com, Cable Beach Road, Cable Beach, WA, Cable Beach,6726
Far South Coast Branch,244716657, , brosslsc@bigpond.net.au, brouleesurfersslsc.org.au, Off The Southern End of Heath Street, Broulee, NSW, Bengello Beach(South Broulee/South),2537
Far North Coast Branch,266851273,266851273, admin@brunswickslsc.org, www.brunswickslsc.org, South Beach Road, Brunswick Heads, NSW, Brunswick Heads,2483
Sunshine Coast Branch, , , , , 29 The Esplanade. (Beach Access 299), Caloundra, QLD, Bulcock,4551
Illawarra Branch, , , bullisurfclub@gmail.com, www.bullisurfclub.com.au, Trinity Row, Bulli, NSW, Bulli Beach,2516
Wide Bay Capricorn Branch, 07 4159 2288, 07 4159 2288, admin@bundabergslsc.com.au, www.bundabergslsc.com.au, Nielson Park, Bargara, QLD, Nielsen Park,4670
Sydney Northern Beaches Branch, , , info@bunganbeachsurfclub.com, www.bunganbeachsurfclub.com.au, Lower Myola Road, Newport, NSW, Bungan Beach,2106
South Coast Branch (Qld), 07 5535 2419, 07 5520 1661, admin@burleighslsc.com.au, www.burleighslsc.com.au, Goodwin Terrace, Burleigh Heads, QLD, Burleigh Heads,4220
Misc TAS Clubs, 03 6431 2697, , secretary@burnieslsc.org.au, www.burnieslsc.org.au, West Beach, Burnie, TAS, West Beach,7320
